{'timestamp': 0.0003237724304199219, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 0.5024318695068359, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 1.0051026344299316, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 1.507154941558838, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 2.0095179080963135, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 2.5113718509674072, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 3.01361083984375, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 3.515183687210083, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 4.0169899463653564, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 4.519260883331299, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 5.021454811096191, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 5.5237109661102295, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 6.025569915771484, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 6.527131795883179, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 7.029401063919067, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 7.531940698623657, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 8.033297777175903, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 8.535705804824829, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 9.037508726119995, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 9.53996992111206, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
{'timestamp': 10.042346954345703, 'hip_angle': 173.67560886107566, 'knee_angle': 178.94010860920338}
